ID,City,Country,Var1
16440924-2189,Francavilla in Sinni,Turks and Caicos Islands,28771
16211223-8346,Harnoncourt,Palau,94616
16400515-7724,Moga,Haiti,08498
16570607-1429,Erode,Vanuatu,49660
16751207-0652,Dehradun,Grenada,15753
16180518-4171,Haverfordwest,Turkmenistan,00295
16780907-9861,Burg,Côte D'Ivoire (Ivory Coast),55259
16290324-3125,Keumiee,Greenland,40886
16750724-5392,Destelbergen,Philippines,07957
16931220-7468,Midlands,Moldova,20638
16260307-7567,Carleton,India,33255
16491206-3486,Yeotmal,South Africa,55258
16390511-2888,Governador Valadares,Tokelau,03129
16430804-9396,Turriff,Romania,62758
16680212-6786,Brora,Russian Federation,92518
16920714-4156,Trochu,Equatorial Guinea,81603
16521019-8171,Newmarket,Jersey,57456
16130606-7370,Worcester,Singapore,52032
16220829-5408,Outremont,Niue,29583
16980805-2055,Worcester,Macao,65170
16800314-5581,Beervelde,Ghana,13751
16800117-7636,San Fele,Malaysia,26798
16260927-2402,San José de Maipo,Madagascar,31082
16690711-1154,Heppignies,Madagascar,01722
16640113-9685,Annapolis,"Bonaire, Sint Eustatius and Saba",31661
16210513-3967,Pont-de-Loup,Andorra,56606
16410118-0802,Dereham,Senegal,29998
16931220-2527,Monte San Giovanni in Sabina,American Samoa,82430
16730118-7378,Baranello,Kyrgyzstan,71054
16820525-2953,Dover,Fiji,36970
16460605-3496,Castiglione a Casauria,Guatemala,69554
16460418-6488,Novoli,Faroe Islands,02635
16790402-4267,Rotterdam,Montserrat,06306
16860214-7657,Montaldo Bormida,Cook Islands,01131
16790615-8626,Bellevue,Trinidad and Tobago,31176
16330206-3825,Rio Saliceto,Venezuela,71098
16800625-4562,Limbach-Oberfrohna,Antarctica,35147
16740120-3810,Southend,Falkland Islands,14595
16421103-6696,Sint-Lambrechts-Herk,Micronesia,12569
16231223-9011,Fogo,Barbados,00520
16310814-7970,Schweinfurt,South Georgia and The South Sandwich Islands,60086
16511101-6639,Des Moines,Brunei,20941
16910207-3757,Opwijk,Holy See (Vatican City State),77945
16580901-0258,Bonavista,Chile,29057
16991107-3493,Maidstone,Ireland,52297
16030820-9519,Salerno,Swaziland,06350
16470514-8528,Massa e Cozzile,Montserrat,13234
16831016-0562,Roubaix,Myanmar,79419
16540112-2386,Gibbons,"Korea, South",34489
16010506-2046,Garaguso,Mayotte,81814
16831222-1107,Laren,Austria,83291
16560101-3252,Gießen,Swaziland,09182
16000421-2726,Ligny,Bouvet Island,77290
16901122-7544,Dornoch,Congo (Brazzaville),20018
16680720-5163,Tintigny,Indonesia,24035
16950306-2912,Spokane,Bolivia,79012
16100909-7799,Wandsworth,Bolivia,51536
16520912-3552,Jundiaí,Georgia,60217
16711001-3716,Devon,Morocco,36606
16600319-3569,El Tabo,India,70717
16560912-8698,Futrono,Sri Lanka,67303
16700515-3585,Quispamsis,Palau,57167
16780125-7572,Parramatta,Tunisia,12600
16080710-1639,Butte,Isle of Man,18441
16140618-0438,Duffel,Bahamas,47148
16250216-0522,Mariakerke,Heard Island and Mcdonald Islands,84030
16500306-5231,Nieuwmunster,Panama,90553
16281105-6932,Pelago,Guernsey,75964
16111101-0862,Las Vegas,Belgium,14756
16810930-1039,BiercŽe,Poland,61726
16780428-8368,Ludwigshafen,Cook Islands,47824
16331013-8320,Harbour Grace,Philippines,35142
16440716-7610,Tulsa,Bahamas,17030
16690403-6594,Port Alice,Timor-Leste,71423
16120509-9003,Hattem,Lesotho,73073
16300412-7431,Saskatoon,Bangladesh,61670
16690605-4306,Sint-Kwintens-Lennik,Paraguay,79836
16110615-9039,Picinisco,Canada,14589
16470520-2309,San Demetrio Corone,United States Minor Outlying Islands,61857
16650305-2976,Baranello,Sri Lanka,60706
16880913-1231,Papasidero,El Salvador,76367
16181123-5645,Valkenburg aan de Geul,Lesotho,74424
16290301-5739,Balurghat,Guyana,57335
16731228-1228,Bollnäs,"Virgin Islands, United States",15918
16090717-7265,Longvilly,Tanzania,78562
16581111-0419,Saint-Hilarion,Mongolia,54598
16900225-6841,Henley-on-Thames,Honduras,56807
16940607-5979,Hérouville-Saint-Clair,Lebanon,81851
16510708-0490,Pont-Saint-Martin,Kazakhstan,00872
16760927-2229,Oderzo,Guernsey,85246
16470707-0829,Leersum,Guinea,93869
16450527-2916,Pointe-aux-Trembles,Cocos (Keeling) Islands,91107
16831204-0259,Trochu,Antigua and Barbuda,70547
16530812-0509,Jodoigne-Souveraine,"Palestine, State of",92334
16810716-0924,Grandrieu,Mexico,08992
16440714-1821,Oromocto,Chile,42171
16510801-9596,Goutroux,Gibraltar,46643
16140502-0890,Westlock,Wallis and Futuna,46849
16511001-8628,Poitiers,Panama,58009
16830122-7255,Buckingham,Cape Verde,55949
